NoGroupe6|NoCours|NomCours|NumeroLocal|idLocal|TypeDeLocal|DateDebut|HeureDebut|DateFin|HeureFin|NoJour|
000273|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|11:00:00|2|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-22|14:00:00|2016-08-28|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-10-24|14:00:00|2016-10-30|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-10-31|14:00:00|2016-11-06|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-11-07|14:00:00|2016-11-13|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-11-14|14:00:00|2016-11-20|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-11-21|14:00:00|2016-11-27|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-11-28|14:00:00|2016-12-04|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-12-05|14:00:00|2016-12-11|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-12-12|14:00:00|2016-12-18|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-29|14:00:00|2016-09-04|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-09-05|14:00:00|2016-09-11|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-09-19|14:00:00|2016-09-25|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-09-26|14:00:00|2016-10-02|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-10-03|14:00:00|2016-10-09|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-10-10|14:00:00|2016-10-16|17:00:00|4|
000291|330910RE|Initiation à l'histoire de la civilisation occidentale|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-10-17|14:00:00|2016-10-23|17:00:00|4|
000004|330961MA|Histoire des États-Unis|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|13:00:00|5|
000005|330961MA|Histoire des États-Unis|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|17:00:00|1|
000007|330961MA|Histoire des États-Unis|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-22|13:00:00|2016-12-19|16:00:00|5|
000026|340101MQ|Philosophie et rationalité|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-22|16:00:00|2016-12-19|18:00:00|2|
000026|340101MQ|Philosophie et rationalité|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|10:00:00|4|
000045|340101MQ|Philosophie et rationalité|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-22|16:00:00|2016-12-19|18:00:00|5|
000045|340101MQ|Philosophie et rationalité|B3331|MULTIMÉDIA -  ÉCONOMIE|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|12:00:00|3|
000008|330961MA|Histoire des États-Unis|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|15:00:00|2016-12-19|18:00:00|3|
000001|387303MA|Diversité sociale et ethnoculturelle|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|08:00:00|2016-12-19|11:00:00|3|
000002|387303MA|Diversité sociale et ethnoculturelle|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|12:00:00|2016-12-19|15:00:00|1|
000003|387303MA|Diversité sociale et ethnoculturelle|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|12:00:00|2016-12-19|15:00:00|5|
000011|387960MA|Individu et société|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|15:00:00|2016-12-19|18:00:00|1|
000221|387960MA|Individu et société|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|14:00:00|2016-12-19|17:00:00|2|
000222|387960MA|Individu et société|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|08:00:00|2016-12-19|11:00:00|1|
000001|387970MA|Famille et réalités sociales liées à la santé|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|14:00:00|2016-12-19|17:00:00|4|
000002|387970MA|Famille et réalités sociales liées à la santé|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|08:00:00|2016-12-19|11:00:00|5|
000001|387EEEMA|Interaction avec des communautés culturelles et ethniques|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|12:00:00|2016-12-19|15:00:00|3|
000002|387EEEMA|Interaction avec des communautés culturelles et ethniques|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|08:00:00|2016-12-19|11:00:00|4|
000003|387EEEMA|Interaction avec des communautés culturelles et ethniques|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|08:00:00|2016-12-19|11:00:00|2|
000007|601101MQ|Écriture et littérature|B3332|MULTIMÉDIA - SOCIOLOGIE |Classe de multimédia|2016-08-22|15:00:00|2016-12-19|17:00:00|5|
000003|202EEC05|Chimie organique I|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|14:00:00|2016-12-18|16:00:00|5|
000015|340101MQ|Philosophie et rationalité|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|12:00:00|4|
000036|340101MQ|Philosophie et rationalité|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|16:00:00|2016-12-19|18:00:00|2|
000257|385940MA|Introduction à la vie politique|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|17:00:00|4|
000001|385950MA|Actualité politique internationale|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|11:00:00|2016-12-19|14:00:00|5|
000002|385950MA|Actualité politique internationale|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|15:00:00|2016-12-19|18:00:00|3|
000001|393AAAMA|Environnement professionnel|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|09:00:00|2016-12-19|10:00:00|3|
000003|393AAAMA|Environnement professionnel|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|09:00:00|3|
000002|393AABMA|Typologie des documents administratifs|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|11:00:00|3|
000004|393AABMA|Typologie des documents administratifs|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|15:00:00|2016-12-19|16:00:00|2|
000001|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|12:00:00|1|
000001|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|11:00:00|2016-12-19|12:00:00|2|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-09-19|14:00:00|2016-09-25|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-09-26|14:00:00|2016-10-02|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-10-03|14:00:00|2016-10-09|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-10-10|14:00:00|2016-10-16|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-10-17|14:00:00|2016-10-23|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-10-24|14:00:00|2016-10-30|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|14:00:00|2016-08-28|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-10-31|14:00:00|2016-11-06|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-11-07|14:00:00|2016-11-13|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-11-14|14:00:00|2016-11-20|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-11-21|14:00:00|2016-11-27|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-11-28|14:00:00|2016-12-04|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-29|14:00:00|2016-09-04|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-12-05|14:00:00|2016-12-11|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-12-12|14:00:00|2016-12-18|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-12-19|14:00:00|2016-12-25|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-09-05|14:00:00|2016-09-11|16:00:00|1|
000002|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-09-12|14:00:00|2016-09-18|16:00:00|1|
000003|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|10:00:00|1|
000003|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|15:00:00|2|
000004|393AADMA|Conservation des documents|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|10:00:00|2|
000004|393AAJMA|Analyse et indexation|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|11:00:00|2016-12-19|12:00:00|3|
000002|393AC1MA|Sources et recherche d'information 1|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|16:00:00|2016-12-19|18:00:00|1|
000004|393AC1MA|Sources et recherche d'information 1|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|12:00:00|2016-12-19|14:00:00|1|
000001|393EER05|Promotion et animation en documentation|B4407|MULTIMEDIA - TDOC|Classe de multimédia|2016-08-22|13:00:00|2016-12-19|15:00:00|3|
000011|300300RE|Initiation pratique à la méthodologie des sciences humaines|B4417a|Laboratoire informatique|Classe de multimédia|2016-09-19|09:00:00|2016-09-25|11:00:00|1|
000011|300300RE|Initiation pratique à la méthodologie des sciences humaines|B4417a|Laboratoire informatique|Classe de multimédia|2016-10-31|09:00:00|2016-11-06|11:00:00|1|
000001|393AAAMA|Environnement professionnel|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|14:00:00|2016-12-19|16:00:00|5|
000002|393AAAMA|Environnement professionnel|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|08:00:00|2016-12-19|10:00:00|4|
000003|393AAAMA|Environnement professionnel|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|09:00:00|2016-12-19|11:00:00|3|
000004|393AAAMA|Environnement professionnel|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|14:00:00|2016-12-19|16:00:00|4|
000001|393AABMA|Typologie des documents administratifs|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|16:00:00|2016-12-19|18:00:00|3|
000002|393AABMA|Typologie des documents administratifs|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|09:00:00|2016-12-19|11:00:00|5|
000003|393AABMA|Typologie des documents administratifs|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|16:00:00|2016-12-19|18:00:00|2|
000004|393AABMA|Typologie des documents administratifs|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|10:00:00|2016-12-19|12:00:00|4|
000001|393AAJMA|Analyse et indexation|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|12:00:00|2016-12-19|15:00:00|1|
000002|393AAJMA|Analyse et indexation|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|11:00:00|2016-12-19|14:00:00|5|
000004|393AAJMA|Analyse et indexation|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|13:00:00|2016-12-19|16:00:00|3|
000001|393CC1MA|Recherche efficace d'information numérique|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|08:00:00|2016-12-19|11:00:00|2|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|17:00:00|2016-08-28|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-10-24|17:00:00|2016-10-30|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-10-31|17:00:00|2016-11-06|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-11-07|17:00:00|2016-11-13|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-11-14|17:00:00|2016-11-20|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-11-21|17:00:00|2016-11-27|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-11-28|17:00:00|2016-12-04|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Classe de multimédia|2016-12-05|17:00:00|2016-12-11|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-12-12|17:00:00|2016-12-18|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-29|17:00:00|2016-09-04|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-09-05|17:00:00|2016-09-11|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-09-12|17:00:00|2016-09-18|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-09-19|17:00:00|2016-09-25|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-09-26|17:00:00|2016-10-02|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-10-03|17:00:00|2016-10-09|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-10-10|17:00:00|2016-10-16|18:00:00|5|
000001|410262MA|Droit des affaires|B4417a|Laboratoire informatique|Laboratoire informatique|2016-10-17|17:00:00|2016-10-23|18:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|16:00:00|2016-08-28|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-10-24|16:00:00|2016-10-30|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-10-31|16:00:00|2016-11-06|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-11-14|16:00:00|2016-11-20|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-11-21|16:00:00|2016-11-27|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-11-28|16:00:00|2016-12-04|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-12-12|16:00:00|2016-12-18|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-29|16:00:00|2016-09-04|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-09-05|16:00:00|2016-09-11|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-09-12|16:00:00|2016-09-18|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-09-19|16:00:00|2016-09-25|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-09-26|16:00:00|2016-10-02|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-10-10|16:00:00|2016-10-16|17:00:00|5|
000001|410315MA|Gestion budgétaire|B4417a|Laboratoire informatique|Laboratoire informatique|2016-10-17|16:00:00|2016-10-23|17:00:00|5|
000002|410435MA|Marketing et service à la clientèle|B4417a|Laboratoire informatique|Laboratoire informatique|2016-08-22|17:00:00|2016-12-19|18:00:00|1|
000002|410435MA|Marketing et service à la clientèle|B4417a|Laboratoire informatique|Laboratoire informatique|2016-09-19|15:00:00|2016-09-25|17:00:00|1|
000001|120528MA|Nutrition clinique 2|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|08:00:00|2016-12-19|11:00:00|4|
000002|120528MA|Nutrition clinique 2|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|08:00:00|2016-12-19|11:00:00|2|
000003|120528MA|Nutrition clinique 2|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|08:00:00|2016-12-19|11:00:00|3|
000004|120528MA|Nutrition clinique 2|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|08:00:00|2016-12-19|11:00:00|1|
000013|300300RE|Initiation pratique à la méthodologie des sciences humaines|B4417b|Laboratoire informatique|Classe de multimédia|2016-09-05|13:00:00|2016-09-11|15:00:00|5|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|14:00:00|2016-08-28|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-10-24|14:00:00|2016-10-30|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-10-31|14:00:00|2016-11-06|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-11-14|14:00:00|2016-11-20|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-11-21|14:00:00|2016-11-27|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-11-28|14:00:00|2016-12-04|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-12-12|14:00:00|2016-12-18|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-29|14:00:00|2016-09-04|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-09-05|14:00:00|2016-09-11|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-09-12|14:00:00|2016-09-18|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-09-19|14:00:00|2016-09-25|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-09-26|14:00:00|2016-10-02|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-10-10|14:00:00|2016-10-16|15:00:00|3|
000002|410315MA|Gestion budgétaire|B4417b|Laboratoire informatique|Laboratoire informatique|2016-10-17|14:00:00|2016-10-23|15:00:00|3|
000001|410482MA|Implantation d'un système comptable|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|11:00:00|2016-12-19|13:00:00|3|
000001|410482MA|Implantation d'un système comptable|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|13:00:00|2016-12-19|14:00:00|3|
000001|410535MA|Publicité et communication de masse|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|15:00:00|2016-12-19|16:00:00|3|
000001|410547MA|Dotation|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|14:00:00|2016-12-19|18:00:00|2|
000001|420141MA|Initiation à la programmation|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|15:00:00|2016-12-19|18:00:00|1|
000001|420141MA|Initiation à la programmation|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|14:00:00|2016-12-19|16:00:00|4|
000002|420C31MA|Métiers et domaines de l'informatique|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|11:00:00|2016-12-19|14:00:00|1|
000003|420C31MA|Métiers et domaines de l'informatique|B4417b|Laboratoire informatique|Laboratoire informatique|2016-08-22|15:00:00|2016-12-19|18:00:00|5|
000006|109110MA|Santé et conditionnement physique en gymnase|B4420a|Laboratoire informatique|Laboratoire informatique|2016-12-05|10:00:00|2016-12-11|12:00:00|1|
000007|109110MA|Santé et conditionnement physique en gymnase|B4420a|Laboratoire informatique|Laboratoire informatique|2016-12-05|16:00:00|2016-12-11|18:00:00|1|
000008|109110MA|Santé et conditionnement physique en gymnase|B4420a|Laboratoire informatique|Laboratoire informatique|2016-12-05|16:00:00|2016-12-11|18:00:00|4|
000002|109115MA|Santé Conditionnement physique en plein air|B4420a|Laboratoire informatique|Laboratoire informatique|2016-08-22|09:00:00|2016-08-28|12:00:00|2|
000002|109388MA|Randonnée pédestre|B4420a|Laboratoire informatique|Laboratoire informatique|2016-08-22|14:00:00|2016-08-28|16:00:00|4|
000282|201EED05|Compléments de mathématiques|B4420a|Laboratoire informatique|Laboratoire informatique|2016-11-28|12:00:00|2016-12-04|13:00:00|5|
000282|201EED05|Compléments de mathématiques|B4420a|Laboratoire informatique|Laboratoire informatique|2016-12-05|08:00:00|2016-12-11|10:00:00|2|
000282|201EED05|Compléments de mathématiques|B4420a|Laboratoire informatique|Laboratoire informatique|2016-12-05|14:00:00|2016-12-11|16:00:00|4|
000006|201NYC05|Algèbre linéaire et géométrie vectorielle|B4420a|Laboratoire informatique|Laboratoire informatique|2016-09-19|15:00:00|2016-09-25|16:00:00|4|
000215|320103MA|La carte du monde|B4420a|Laboratoire informatique|Laboratoire informatique|2016-09-05|08:00:00|2016-09-11|11:00:00|2|
000001|350C34MA|Communications et interrelations|B4420a|Laboratoire informatique|Laboratoire informatique|2016-09-12|08:00:00|2016-09-18|11:00:00|5|
000256|360300RE|Méthodes quantitatives en sciences humaines|B4420a|Laboratoire informatique|Laboratoire informatique|2016-09-12|14:00:00|2016-09-18|16:00:00|4|
000258|360300RE|Méthodes quantitatives en sciences humaines|B4420a|Laboratoire informatique|Laboratoire informatique|2016-11-28|08:00:00|2016-12-04|10:00:00|4|
000258|360300RE|Méthodes quantitatives en sciences humaines|B4420a|Laboratoire informatique|Laboratoire informatique|2016-12-05|16:00:00|2016-12-11|18:00:00|2|
000002|401110MA|Comptabilité financière|B4420a|Laboratoire informatique|Laboratoire informatique|2016-11-14|12:00:00|2016-11-20|13:00:00|5|
000002|401110MA|Comptabilité financière|B4420a|Laboratoire informatique|Laboratoire informatique|2016-11-21|12:00:00|2016-11-27|13:00:00|5|
000004|410130MA|Marketing|B4420a|Laboratoire informatique|Laboratoire informatique|2016-10-10|16:00:00|2016-10-16|18:00:00|4|
000001|410577MA|Gestion des ressources humaines|B4420a|Laboratoire informatique|Laboratoire informatique|2016-10-31|15:00:00|2016-11-06|18:00:00|3|
000001|410577MA|Gestion des ressources humaines|B4420a|Laboratoire informatique|Laboratoire informatique|2016-09-12|15:00:00|2016-09-18|18:00:00|3|
000001|410577MA|Gestion des ressources humaines|B4420a|Laboratoire informatique|Laboratoire informatique|2016-09-19|15:00:00|2016-09-25|18:00:00|3|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-08-22|15:00:00|2016-08-28|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-10-24|15:00:00|2016-10-30|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-10-31|15:00:00|2016-11-06|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-11-07|15:00:00|2016-11-13|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-11-14|15:00:00|2016-11-20|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-11-21|15:00:00|2016-11-27|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-11-28|15:00:00|2016-12-04|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-12-12|15:00:00|2016-12-18|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-12-19|15:00:00|2016-12-25|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-08-29|15:00:00|2016-09-04|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-09-05|15:00:00|2016-09-11|18:00:00|1|
000001|420CC2MA|Windows et Office à des fins d'usage courant|B4420a|Laboratoire informatique|Laboratoire informatique|2016-09-12|15:00:00|2016-09-18|18:00:00|1|
